book_id,goodreads_book_id,title,authors,average_rating,ratings_count,to_read_count,tag_list
2020,603204,How to Cook Everything: Simple Recipes for Great Food,Mark Bittman,4.02,52708,72,"to-read, american, adult, shelfari-wishlist, shelfari-favorites"
2021,690926,"The Twilight Collection (Twilight, #1-3)",Stephenie Meyer,3.78,42361,14,"to-read, young-adult-lit, ya-read, have-read, vamps"
2022,857502,Concerning the Spiritual in Art,Wassily Kandinsky,3.81,56444,78,"to-read, ensayo, to-read-non-fiction, self-improvement, maybe"
2023,186190,"Forrest Gump (Forrest Gump, #1)",Winston Groom,4.06,45660,40,"to-read, usa, tbr, biography, home-library"
2024,11991,The Fall,"Albert Camus, Justin O'Brien",4.05,43269,124,"to-read, existentialist, favorite-books, collection, psychology"
2025,7572,Even Cowgirls Get the Blues,Tom Robbins,3.74,40840,59,"to-read, american-lit, audiobooks, fiction-and-literature, re-read"
2026,6138,The Moonstone,"Wilkie Collins, Carolyn G. Heilbrun",3.9,50322,177,"to-read, mystery-crime, 1800s, abandoned, kindle-books"
2027,374233,If on a Winter's Night a Traveler,"Italo Calvino, William Weaver",4.08,42037,172,"currently-reading, did-not-finish, italiani, ebooks, to-re-read"
2028,13521,"Son of a Witch (The Wicked Years, #2)","Gregory Maguire, Douglas Smith",3.45,48982,109,"to-read, on-my-bookshelf, re-read, fairy-tale-retellings, own-to-read"
2029,815309,On Chesil Beach,Ian McEwan,3.54,43698,43,"to-read, read-in-2010, sex, audio-books, 2000s"
2030,64854,"M is for Malice (Kinsey Millhone, #13)",Sue Grafton,4.07,52843,22,"to-read, novels, cozy-mystery, murder, calibre"
2031,6531,"Point of Origin (Kay Scarpetta, #9)",Patricia Cornwell,4.02,48683,20,"to-read, 1998, mystery-thriller-suspense, novels, patricia-cornwell-kay-scarpetta"
2032,106264,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",Patricia MacLachlan,3.72,53317,28,"to-read, newberry-award, newbery-challenge, historical, audio"
2033,3554772,عزازيل,يوسف زيدان,4.07,37404,61,"to-read, عربية, read-2016, to-re-read, favorite"
2034,33454,"Bloodsucking Fiends (A Love Story, #1)",Christopher Moore,3.93,48520,99,"to-read, re-read, audio-books, love, humorous-fiction"
2035,7857195,Squirrel Seeks Chipmunk: A Modest Bestiary,"David Sedaris, Ian Falconer",3.34,48061,181,"to-read, favorite-authors, -single, essays, short-story-collections"
2036,7015403,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.17,46635,207,"to-read, non-fiction-to-read, mindfulness, did-not-finish, read-2015"
2037,28214365,Commonwealth,Ann Patchett,3.84,56656,525,"currently-reading, historical, female-authors, finished, favorite-authors"
2038,6267237,"The Van Alen Legacy (Blue Bloods, #4)",Melissa de la Cruz,3.95,58724,50,"to-read, e-book, borrowed, 5-stars, vamp"
2039,133526,Blueberries for Sal,Robert McCloskey,4.18,58571,17,"to-read, kiddos, read-as-a-child, owned-books, kids-picture-books"
2040,17340050,"Losing Hope (Hopeless, #2)",Colleen Hoover,4.39,71841,173,"to-read, paperback, waiting-for-release, heartbreaking, adult"
2041,10566,Lisey's Story,Stephen King,3.65,50721,123,"to-read, calibre, horror-suspense, s-king, books-owned"
2042,15851746,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,3.68,37150,79,"to-read, death-and-dying, audio-books, wish-list, own-it"
2043,400354,"Men at Arms (Discworld, #15; City Watch #2)",Terry Pratchett,4.36,54413,35,"to-read, e-books, werewolves, fantastic, place"
2044,495395,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,3.76,48711,253,"to-read, adult-nonfiction, couldn-t-finish, memoir-bio, read-in-2012"
2045,42432,God Emperor of Dune (Dune Chronicles #4),Frank Herbert,3.81,45608,35,"to-read, fantascienza, shelfari-favorites, american-literature, -imaginary"
2046,18465657,The One & Only,Emily Giffin,3.11,36795,97,"to-read, library-books, need-to-buy, favorite-authors, my-library"
2047,40493,"The Valley of Horses (Earth's Children, #2)",Jean M. Auel,3.98,52572,25,"historical-fiction, to-buy, english, childhood, auel-jean-m"
2048,15811568,Six Years,Harlan Coben,3.8,36523,84,"to-read, crime-fiction, crime-mystery-thriller, finished, harlen-coben"
2049,78039,"Ramona the Pest (Ramona, #2)",Beverly Cleary,4.04,52242,19,"to-read, chapter-book, kids-chapter-books, my-library, books-i-loved-as-a-kid"
2050,2985500,"Night World, No. 2 (Night World, #4-6)",L.J. Smith,4.2,53023,23,"to-read, mine, read-in-2009, read-in-2010, bought"
2051,13872,Geek Love,Katherine Dunn,3.98,41176,177,"to-read, shelfari-favorites, never-finished, gave-up-on, dnf"
2052,1540,"The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)","Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald",3.96,42175,43,"classics, books-for-school, collection, ancient-greek, the-classics"
2053,5527,All the King's Men,Robert Penn Warren,4.08,42821,180,"to-read, default, my-books, american-south, bookclub"
2054,5452,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",Ann Brashares,3.82,56485,37,"to-read, books, ebook, to-buy, kindle"
2055,43931,The Woods,Harlan Coben,4.04,46234,77,"to-read, drama, serial-killer, horror, read-2013"
2056,187065,"New Spring (Wheel of Time, #0)",Robert Jordan,4.01,52823,114,"to-read, novels, adult-fiction, read-in-2013, physical"
2057,11600163,The Litigators,John Grisham,3.77,38391,75,"to-read, finished, unread, did-not-finish, read-2014"
2058,23604559,My Grandmother Asked Me to Tell You She's Sorry,"Fredrik Backman, Henning Koch",4.02,49291,549,"to-read, books-read-in-2016, fairy-tales, read-2015, ebooks"
2059,7959473,"American Assassin (Mitch Rapp, #1)",Vince Flynn,4.24,44196,105,"to-read, spy-thrillers, fiction-thriller, maybe, e-books"
2060,13588356,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.24,49636,228,"to-read, dnf, owned-books, amazon-100, non-fic"
2061,17333319,Burial Rites,Hannah Kent,4.01,41209,226,"to-read, general-fiction, first-reads, my-library, female-authors"
2062,45162,Fingersmith,Sarah Waters,4.02,41761,123,"historical-fiction, to-read-fiction, read-in-2017, uk, 1001-books-to-read"
2063,40189,A Year in Provence,Peter Mayle,3.94,47139,105,"to-read, own-it, read-in-2012, literature, ebook"
2064,37186,The Miraculous Journey of Edward Tulane,"Kate DiCamillo, Bagram Ibatoulline",4.34,53245,67,"favorites, family, to-buy, ya-fiction, illustrated"
2065,10163292,The Last Letter from Your Lover,Jojo Moyes,3.94,41138,140,"currently-reading, audio-books, roman, love-stories, gave-up"
2066,762806,"Gorky Park (Arkady Renko, #1)",Martin Cruz Smith,4.04,46847,45,"to-read, renko, to-read-fiction, usa, shelfari-favorites"
2067,15781725,The House Girl,Tara Conklin,3.75,41671,316,"to-read, want-to-read, books-read-in-2013, southern-fiction, to-read-own"
2068,25346,Out of the Dust,Karen Hesse,3.73,53706,35,"to-read, teen, childrens-lit, classic, middle-grades"
2069,23219,"Queen of Babble (Queen of Babble, #1)",Meg Cabot,3.71,54248,102,"to-read, love, 5-stars, fashion, read-in-2008"
2070,13563669,"The Third Wheel (Diary of a Wimpy Kid, #7)",Jeff Kinney,4.21,44607,23,"to-read, bookshelf, easy, my-shelf, want-to-read"
2071,11925514,"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,4.08,55139,353,"to-read, all-time-favorites, teen-fiction, adult, didn-t-finish"
2072,270807,"Burned (Burned, #1)",Ellen Hopkins,4.24,48333,74,"to-read, first-in-series, must-read, need-to-buy, book-club"
2073,43330,Master of the Game,Sidney Sheldon,4.09,40111,26,"to-read, other, popular-fiction, own-a-copy, fav"
2074,6539,"The Body Farm (Kay Scarpetta, #5)",Patricia Cornwell,4.04,51115,22,"to-read, read-in-2014, suspense-mystery, medical-thriller, thriller-suspense"
2075,93722,"The Boy Next Door (Boy, #1)",Meg Cabot,3.83,50953,103,"to-read, books-i-have, my-library, boy, guilty-pleasures"
2076,19351,The Epic of Gilgamesh,"Anonymous, N.K. Sandars",3.63,44345,128,"to-read, favourites, ebook, own-it, i-own"
2077,1254951,"The Luxe (Luxe, #1)",Anna Godbersen,3.63,58717,163,"to-read, guilty-pleasures, novels, part-of-a-series, historic-fiction"
2078,19330,The Complete Tales,Beatrix Potter,4.36,56807,19,"to-read, classic-literature, anthologies, british-literature, young-readers"
2079,11650,"American Pastoral (The American Trilogy, #1)",Philip Roth,3.91,38017,205,"to-read, unread, ebooks, fiction-to-read, unfinished"
2080,24453082,Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,3.9,67046,185,"currently-reading, non-fic, 2015-releases, to-read-nonfiction, dnf"
2081,19486421,"Skin Game (The Dresden Files, #15)",Jim Butcher,4.55,41512,94,"to-read, read-in-2016, reviewed, favorite-series, butcher"
2082,646462,The Qur'an / القرآن الكريم,Anonymous,4.34,31765,71,"to-read, in-my-library, translated, historical, always-reading"
2083,476543,The Darkest Night (Lords of the Underworld #1),Gena Showalter,4.09,63240,151,"to-read, e-book, 5-stars, my-books, 1st-in-series"
2084,2845024,Anathem,Neal Stephenson,4.18,44848,247,"to-read, maybe, recommended, wish-list, books"
2085,6433752,The Lacuna,Barbara Kingsolver,3.76,45671,179,"to-read, home-library, usa, trotsky, read-in-2012"
2086,34532,"Hogfather (Discworld, #20; Death, #4)",Terry Pratchett,4.22,50364,42,"to-read, fantasy-and-sci-fi, read-in-2014, novel, fantasia"
2087,5190,Open House,Elizabeth Berg,3.68,48639,83,"to-read, 2005, fiction-literature, book-club-reads, chicklit"
2088,16130291,The Silver Star,Jeannette Walls,3.68,43487,272,"to-read, virginia, book-club-reads, did-not-finish, listened-to"
2089,11768,The Hotel New Hampshire,John Irving,3.89,46220,70,"fiction, audiobook, irving-john, absurdism, fiction-literature"
2090,15309,"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",Laurell K. Hamilton,4.11,62189,22,"to-read, ebooks, my-library, reread, my-books"
2091,762053,"Key of Light (Key Trilogy, #1)",Nora Roberts,4.16,48805,26,"to-read, audio-books, favorite, key, have-read"
2092,2241059,Identical,Ellen Hopkins,4.34,47804,93,"to-read, shelfari-wishlist, ebooks, books, novels"
2093,7746259,The Stand: Soul Survivors,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",4.52,40626,16,"to-read, scifi, reading-challenge-2017, physical-book, library-loan"
2094,9583508,"Smokin' Seventeen (Stephanie Plum, #17)","Janet Evanovich, Lorelei King",3.94,41932,64,"to-read, to-buy, read-in-2013, favorite-series, janet-evanovich-stephanie-plum"
2095,105549,The Sneetches and Other Stories,Dr. Seuss,4.31,52954,24,"to-read, preschool, kiddos, for-kids, 5-stars"
2096,598160,"Polar Bear, Polar Bear, What Do You Hear?","Bill Martin Jr., Eric Carle",4.16,44414,5,"to-read, bear, toddlers, read-kids, for-the-kids"
2097,24861,Demian. Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,4.1,37459,26,"favorites, europe, adult, classic-fiction, nobel-laureates"
2098,9590,"God Bless You, Mr. Rosewater",Kurt Vonnegut Jr.,3.94,40353,91,"to-read, to-re-read, books, modern-classics, adult"
2099,282282,"Skip Beat!, Vol. 01","Yoshiki Nakamura, Tomo Kimura",4.26,46708,26,"to-read, yoshiki-nakamura, my-library, favorite-books, japanese-manga"
2100,19030845,Batman: The Dark Knight Returns #1,Frank Miller,4.21,32228,8,"to-read, united-states, a-fiction, comics-and-graphic-novels-to-read, batman-family"
2101,99298,"The Harry Potter Collection 1-4 (Harry Potter, #1-4)","J.K. Rowling, Mary GrandPré",4.66,43929,12,"to-read, literature, ebook, reread, hp"
2102,6597651,The Windup Girl,Paolo Bacigalupi,3.74,41728,256,"to-read, science-fiction-fantasy, nebula, read-2012, to-buy"
2103,92308,The Importance of Being Earnest and Other Plays,"Oscar Wilde, Richard Allen Cave",4.26,41002,92,"to-read, books, read-in-2015, teatro, britain"
2104,9627755,"Isla and the Happily Ever After (Anna and the French Kiss, #3)",Stephanie Perkins,4.1,70995,202,"to-read, love, need-to-buy, completed-series, trilogy"
2105,38619,"Magic Bites (Kate Daniels, #1)",Ilona Andrews,4.07,69410,239,"to-read, mythology, kate-daniels-series, read-in-2014, paranormal-urban-fantasy"
2106,17255265,"This Man Confessed (This Man, #3)",Jodi Ellen Malpas,4.43,62297,36,"to-read, loved-it, hot-hot-hot, all-time-favorite, emotional"
2107,43944,Suite Française,"Irène Némirovsky, Sandra Smith",3.82,40259,165,"historical-fiction, all-time-favorites, literary, narrativa, contemporary"
2108,395233,The Letters of Vincent van Gogh,"Vincent van Gogh, Ronald de Leeuw, Mark Roskill, Arnold J. Pomerans",3.99,48040,121,"to-read, partially-read, my-bookshelf, on-my-shelf, read-in-2017"
2109,34499,"Sourcery (Discworld, #5; Rincewind #3)",Terry Pratchett,3.87,50746,35,"fantasy, discworld-series, fantasy-fiction, mundodisco, disc-world"
2110,29801,"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World",Bryan Lee O'Malley,4.24,47154,28,"to-read, manga-graphic-novels, read-comics, graphics, library-book"
2111,22374,Batman: Arkham Asylum - A Serious House on Serious Earth,"Grant Morrison, Dave McKean",4.09,45345,61,"to-read, graphic-novel-comic, dc-universe, dc-vertigo, hq"
2112,20698530,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",Jenny Han,4.17,62907,168,"to-read, summer-reads, my-bookshelf, realistic, dnf"
2113,23153154,"Memory Man (Amos Decker, #1)",David Baldacci,4.05,36871,93,"to-read, wish-list, novel, adventure, action"
2114,2138727,Mudbound,Hillary Jordan,3.99,43455,183,"to-read, read-in-2015, books-read-in-2012, race, america"
2115,55403,Black Hawk Down,Mark Bowden,4.28,40442,51,"to-read, audible, historical-fiction, shelfari-favorites, war-books"
2116,22055262,"A Darker Shade of Magic (Shades of Magic, #1)","V.E. Schwab, Victoria Schwab",4.07,61419,625,"fantasy, london, novels, lgbt, e-book"
2117,3398625,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann,3.86,45937,186,"to-read, action-adventure, english, read-in-2009, nonfiction-to-read"
2118,15704459,"Firefight (The Reckoners, #2)",Brandon Sanderson,4.29,41924,144,"to-read, sf, e-book, favorite, novels"
2119,28249,"The Magicians' Guild (Black Magician Trilogy, #1)",Trudi Canavan,3.96,48537,86,"to-read, black-magician, unfinished, e-books, favorites"
2120,6693332,"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",Michael Scott,4.12,46878,83,"fantasy, favorite, scifi-fantasy, novel, favorite-books"
2121,6977769,"61 Hours (Jack Reacher, #14)",Lee Child,4.08,43605,37,"to-read, audible, read-in-2010, have, books"
2122,662597,Cut,Patricia McCormick,3.76,48239,83,"to-read, mental, teen-books, stand-alones, suicide"
2123,74532,George's Marvellous Medicine,"Roald Dahl, Quentin Blake",4.02,49863,27,"to-read, children-young-adult, home-library, ebook, borrowed"
2124,41193,A Thousand Acres,Jane Smiley,3.79,47389,81,"to-read, all-time-favorites, audio, read-in-2016, jane-smiley"
2125,24780,"The Book of Three (The Chronicles of Prydain, #1)",Lloyd Alexander,4.0,56593,162,"to-read, young-adult-fiction, friendship, first-in-series, sf-fantasy"
2126,2355575,"Cry Wolf (Alpha & Omega, #1)",Patricia Briggs,4.11,66901,108,"to-read, werewolves-shifters, fae, action, vampire"
2127,770051,Olivia,Ian Falconer,4.13,51185,11,"to-read, caldecott-award, imagination, caldecott-honors, 5360-summer-12"
2128,77156,"Plainsong (Plainsong, #1)",Kent Haruf,4.0,45331,148,"to-read, unfinished, unread, abandoned, recommended"
2129,62953,Ghost World,Daniel Clowes,3.87,49105,137,"to-read, funny, school, ebook, i-own"
2130,11966216,"Torn (Trylle, #2)",Amanda Hocking,4.04,29554,23,"fantasy, favorite, 5-stars, adventure, trilogies"
2131,19117,Fathers and Sons,"Ivan Turgenev, George Reavy, Jane Costlow",3.94,41870,90,"classics, coming-of-age, audiobooks, audiobook, my-ebooks"
2132,113934,The Goal: A Process of Ongoing Improvement,"Eliyahu M. Goldratt, Jeff Cox",4.0,34837,41,"to-read, buisness, jeff-bezos, 100-best-business-books, business-economics"
2133,9684523,Caleb's Crossing,Geraldine Brooks,3.81,47525,183,"to-read, bookgroup, women, friendship, 2011-reads"
2134,2722413,"Evernight (Evernight, #1)",Claudia Gray,3.64,63486,113,"to-read, 4-stars, meh, reviewed, contemporary"
2135,108942,"Bad Luck and Trouble (Jack Reacher, #11)",Lee Child,4.17,42539,44,"to-read, my-library, e-book, general-fiction, books"
2136,2152,The Jane Austen Book Club,Karen Joy Fowler,3.07,53128,120,"to-read, female-author, popular-fiction, 2006, gave-up-on"
2137,21965107,The Children Act,Ian McEwan,3.68,33100,169,"fiction, relationships, brit-lit, abandoned, e-book"
2138,7023554,"Sizzling Sixteen (Stephanie Plum, #16)",Janet Evanovich,3.93,55685,67,"to-read, library-books, own-it, bounty, hunters"
2139,22543496,Elon Musk: Inventing the Future,Ashlee Vance,4.25,55606,78,"to-read, inspiration, educational, read-2017, read-2015"
2140,12591698,"Caliban's War (The Expanse, #2)",James S.A. Corey,4.28,39138,68,"currently-reading, military-sci-fi, epic, e-books, read-in-2013"
2141,13454149,"Barely Breathing (Breathing, #2)",Rebecca Donovan,4.33,53483,53,"to-read, library, realistic, young-love, tear-jerker"
2142,1375,The Iliad/The Odyssey,"Homer, Robert Fagles, Bernard Knox",4.03,47825,52,"classics, all-time-favorites, drama, rory-gilmore-reading-challenge, my-bookshelf"
2143,16992,Kingdom Come,"Mark Waid, Alex Ross, Elliot S. Maggin",4.24,43036,38,"to-read, adult, graphic-novels-to-read, 1990s, wish-list"
2144,6882,Papillon,Henri Charrière,4.23,39073,90,"currently-reading, dnf, autobiography-memoir, didn-t-finish, europe"
2145,56373,Tipping the Velvet,Sarah Waters,4.0,36560,99,"to-read, classics, victoriana, lesbians, abandoned"
2146,11607446,"The Wishing Spell (The Land of Stories, #1)","Chris Colfer, Brandon Dorman",4.21,51752,79,"to-read, read-in-2017, audio-book, read-2016, read-2015"
2147,2586771,The 19th Wife,David Ebershoff,3.63,44921,95,"to-read, read-2010, brigham-young, read-2014, david-ebershoff"
2148,44184,Monster,Walter Dean Myers,3.7,47533,62,"to-read, boys, ltcy-504, coretta-scott-king-award, national-book-award"
2149,9814682,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",George R.R. Martin,4.63,28654,45,"to-read, on-my-bookshelf, novel, my-favorites, own-not-read"
2150,132336,"Body of Evidence (Kay Scarpetta, #2)",Patricia Cornwell,4.0,50113,31,"to-read, audio-books, murder-mysteries, mystery-suspense-thriller, wish-list"
2151,16148398,Saga #1,"Brian K. Vaughan, Fiona Staples",4.15,38729,57,"to-read, graphic-novels-to-read, illustrated, my-library, all-time-favorites"
2152,1651302,"Perfect (Pretty Little Liars, #3)",Sara Shepard,4.02,50922,27,"to-read, read-2015, bookshelf, 7th-grade, on-my-bookshelf"
2153,15717876,"The Secret of Ella and Micha (The Secret, #1)",Jessica Sorensen,4.01,59890,68,"new-adult, favorite-books, realistic, dual-pov, steamy"
2154,9533378,"Hounded (The Iron Druid Chronicles, #1)",Kevin Hearne,4.12,51086,170,"to-read, fantasy-paranormal, first-reads, mystery, owned-books"
2155,22076,From a Buick 8,Stephen King,3.42,47320,39,"to-read, e-book, audio-book, bookshelf, english"
2156,77507,"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,3.84,46121,147,"to-read, audible, e-book, 20th-century, reread"
2157,286957,The Yellow Wall-Paper,"Charlotte Perkins Gilman, Elaine Hedges",4.11,44677,56,"classics, e-books, female-protagonist, 1001-books-you-must-read-before-you, wish-list"
2158,17136,The Time Machine/The Invisible Man,"H.G. Wells, Alfred MacAdam",4.08,47600,79,"to-read, author, dystopias, classic-sci-fi, school"
2159,628139,"Sea Swept (Chesapeake Bay Saga, #1)",Nora Roberts,4.24,48078,45,"to-read, own-it, paranormal, 5-stars, library-book"
2160,12499290,"The Blinding Knife (Lightbringer, #2)",Brent Weeks,4.45,42445,93,"to-read, adult-fiction, read-in-2015, favorite-books, weeks"
2161,18189606,Since You've Been Gone,Morgan Matson,4.19,59705,189,"to-read, audiobook, young-adult-fiction, cute, want-to-buy"
2162,7907803,An Object of Beauty,Steve Martin,3.58,42488,139,"to-read, read-in-2014, customs, fiction-contemporary, 2016-reading-challenge"
2163,174703,What to Expect When You're Expecting,"Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway",3.75,34120,30,"non-fiction, library, child-rearing, medicine, 2017-books"
2164,127823,"The Icebound Land (Ranger's Apprentice, #3)",John Flanagan,4.22,48446,35,"to-read, young, awesome, read-in-2015, reread"
2165,165030,"Anybody Out There? (Walsh Family, #4)",Marian Keyes,3.91,45243,33,"to-read, abandoned, modern, read-in-2011, part-of-a-series"
2166,18050143,"Zero to One: Notes on Startups, or How to Build the Future","Peter Thiel, Blake  Masters",4.17,47807,60,"to-read, product-management, non-fiction-to-read, next-up, audio-books"
2167,28260587,"Empire of Storms (Throne of Glass, #5)",Sarah J. Maas,4.58,63322,348,"to-read, favs, faves, teen, assassin"
2168,169848,"A Christmas Carol, The Chimes and The Cricket on the Hearth","Charles Dickens, Katharine Kroeber Wiley",4.11,48557,24,"to-read, audiobook, literary, other, children-s-lit"
2169,26025580,The Grownup,Gillian Flynn,3.54,42536,176,"to-read, short, thriller-suspense, 4-stars, stand-alone"
2170,16790,Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,4.05,46486,257,"to-read, fairy-tales, borrowed, read-in-2016, sf"
2171,12820793,"The Oath of the Vayuputras (Shiva Trilogy, #3)",Amish Tripathi,3.66,35936,16,"to-read, young-adult, borrowed, books-i-have, action"
2172,4985,Welcome to the Monkey House,Kurt Vonnegut Jr.,4.13,40071,74,"to-read, unfinished, funny, science, shorts"
2173,16141924,Dad Is Fat,Jim Gaffigan,3.76,40489,124,"to-read, comedians, bookclub, biography-autobiography, 2014-books"
2174,2279,Truman,David McCullough,4.15,53088,199,"to-read, pulitzer-prize-winners, own-it, history-us, presidential-history"
2175,16130,Alexander Hamilton,Ron Chernow,4.26,46198,384,"to-read, hist, historical-non-fiction, 2016-books, bio-memoir"
2176,7788,The Cat in the Hat and Other Dr. Seuss Favorites,"Dr. Seuss, Various",4.41,46279,2,"to-read, early-reader, young-children, my-childhood, children-young-adult"
2177,28381,Dead Souls,"Nikolai Gogol, Robert A. Maguire",3.98,40699,172,"to-read, rory-gilmore-book-challenge, lit, 1001-books-you-must-read-before-you, 1001-to-read"
2178,24920901,"The Deal (Off-Campus, #1)",Elle Kennedy,4.3,75699,110,"favorites, loved-it, sweet, favorite-series, favorite-books"
2179,26074181,"The Crown (The Selection, #5)",Kiera Cass,3.8,64158,236,"to-read, ya-dystopian, books-to-buy, e-books, futuristic"
2180,11007587,"Zero Day (John Puller, #1)",David Baldacci,3.99,38649,81,"to-read, first-in-series, nook, novels, i-own"
2181,551876,Tikki Tikki Tembo,"Arlene Mosel, Blair Lent",4.21,52536,14,"picture-books, default, for-kids, historical-fiction, children-s-fiction"
2182,3099787,"Night World, No. 1 (Night World, #1-3)",L.J. Smith,4.04,54940,33,"to-read, bookshelf, novels, 5-stars, maybe"
2183,8204005,"Love Unscripted (Love, #1)",Tina Reber,4.04,59261,161,"to-read, book-boyfriend, meh, want-to-read, on-kindle"
2184,13143,"Pop Goes the Weasel (Alex Cross, #5)",James Patterson,3.98,46820,45,"currently-reading, modern, book-series, jp-alex-cross, own-to-read"
2185,20803953,"Bully (Fall Away, #1)",Penelope Douglas,4.15,34789,36,"to-read, virgin-heroine, erotica, reviewed, e-books"
2186,10104,The Six Wives of Henry VIII,Alison Weir,4.1,47913,179,"to-read, biographical, bio-memoir, bio, e-book"
2187,76171,We,"Yevgeny Zamyatin, Clarence Brown",3.95,40020,268,"to-read, political, unfinished, e-book, my-books"
2188,14250,Pigs in Heaven,Barbara Kingsolver,3.97,43374,57,"to-read, women-writers, women-authors, in-my-library, to-read-own"
2189,239399,"The Ghost Brigades (Old Man's War, #2)",John Scalzi,4.09,40107,54,"to-read, fantasy-scifi, read-2013, kindle-books, read-in-2017"
2190,6150,"Cry, the Beloved Country",Alan Paton,3.87,47389,105,"to-read, cultural, drama, required-reading, read-in-high-school"
2191,887201,Faeries,"Brian Froud, Alan Lee",3.89,38050,73,"to-read, myth, fantasia, comics, graphic-novels"
2192,18943,Confessions of an Ugly Stepsister,Gregory Maguire,3.51,50526,116,"to-read, fairy-tales-retold, did-not-finish, favourites, 2006"
2193,4268,How to Be Good,Nick Hornby,3.18,37497,45,"fiction, book-group, life, read-in-2012, read-2014"
2194,25494343,"Lady Midnight (The Dark Artifices, #1)",Cassandra Clare,4.47,84711,494,"to-read, angels-and-demons, want-to-read, book-boyfriends, favorite-series"
2195,2325825,"Inkdeath (Inkworld, #3)",Cornelia Funke,3.93,53591,115,"to-read, 5-stars, scifi-fantasy, childrens-books, action"
2196,76683,Foundation's Edge (Foundation #4),Isaac Asimov,4.08,47641,50,"to-read, e-book, fantasy-scifi, unread, i-own"
2197,50798,Jude the Obscure,Thomas Hardy,3.8,44873,108,"classics, audiobooks, to-re-read, general-fiction, audio"
2198,587582,"Queen of Sorcery (The Belgariad, #2)",David Eddings,4.13,49355,17,"to-read, fantasy-science-fiction, i-own-it, fantasy-and-sci-fi, coming-of-age"
2199,89723,The Lottery and Other Stories,Shirley Jackson,4.06,48608,83,"to-read, women-writers, short, sci-fi, lit"
2200,7182899,"Into the Gauntlet (The 39 Clues, #10)",Margaret Peterson Haddix,3.99,48461,24,"to-read, classroom-library, 39, j-fiction, fun"
2201,5056084,"Wings (Wings, #1)",Aprilynne Pike,3.75,62566,73,"to-read, e-book, library-books, re-read, faery"
2202,22188,"Gossip Girl (Gossip Girl, #1)",Cecily von Ziegesar,3.51,49670,35,"young-adult, my-library, read-in-2013, have, girly-books"
2203,149572,The Odessa File,Frederick Forsyth,4.1,42529,29,"to-read, audiobooks, action-thriller, pre-goodreads, political-thriller"
2204,15823461,The Burgess Boys,Elizabeth Strout,3.54,39445,171,"to-read, unfinished, listened-to, arc, nook"
2205,23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.41,52846,205,"to-read, maybe, social-sciences, dnf, didn-t-finish"
2206,9902804,Lies That Chelsea Handler Told Me,"Chelsea Handler, Johnny Kansas, Stephanie Stehling, Heather McDonald, Roy Handler, Brad Wollack, Amber Mazzola, Josh Wolf, Shoshanna Handler, Eva Magdalenski, Amy Meyer, Glen Handler, Dave Mallow, Sarah Colonna",3.74,37936,79,"to-read, celebrities, couldn-t-finish, on-kindle, biographies-and-memoirs"
2207,10805160,"Broken Harbour (Dublin Murder Squad, #4)",Tana French,3.92,36704,147,"to-read, mysteries-thrillers, e-book, mystery-series, suspense-thriller"
2208,16001893,"Down to You (The Bad Boys, #1)",M. Leighton,4.05,59221,93,"to-read, my-favorites, 2012-reads, drama, favs"
2209,569564,The Complete Works,William Shakespeare,4.49,39503,63,"to-read, partly-read, literary-fiction, rory-gilmore-reading-challenge, novels"
2210,13651,The Dispossessed,Ursula K. Le Guin,4.18,46660,203,"to-read, ebooks, did-not-finish, speculative, e-book"
2211,935308,"Faceless Killers (Kurt Wallander, #1)","Henning Mankell, Steven T. Murray",3.78,43861,138,"to-read, read-in-2011, 1001-books-you-must-read-before-you, detectives, to-buy"
2212,7933437,The Confession,John Grisham,3.81,41389,51,"to-read, crime-thriller, race-relations, texas, read-in-2010"
2213,32424,Lightning,Dean Koontz,4.06,44424,54,"to-read, time, read-in-2016, suspense-horror, historical-fiction"
